scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"f6319612-afbe-444d-989e-f04b1f59fa4d","2024-01-25T19:24:13.073134",0.0,"2024-01-25T19:24:13.073759",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testChangeFaculty,0,"de8e38b3-0a28-43d9-a9ee-03459df22fcd","2024-01-25T19:24:12.501027",26.0,"2024-01-25T19:24:12.527343",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,"testPasswordForgottenClicked",0,"c1e0527c-26f0-4e79-9c93-2a16c46821a6","2024-01-25T19:24:13.145961",0.0,"2024-01-25T19:24:13.146656",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageFailure,0,"29769938-0b7f-40c0-933e-a80c7e385781","2024-01-25T19:24:13.097406",0.0,"2024-01-25T19:24:13.098013",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckCorrectContent,0,"cd91f76e-732f-41a9-b752-7c9e462c6dc1","2024-01-25T19:24:12.706688",0.0,"2024-01-25T19:24:12.707373",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLSuccess,0,"4f48d217-41d8-4251-939b-87614eb02d76","2024-01-25T19:24:13.043597",1.0,"2024-01-25T19:24:13.044762",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testLoginSuccess,0,"8c943eed-562f-4663-b574-03f2bfa42bf8","2024-01-25T19:24:12.863216",1.0,"2024-01-25T19:24:12.864630",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageSuccess,0,"71100ad8-973f-4307-bc7e-f5a52b421184","2024-01-25T19:24:12.826531",1.0,"2024-01-25T19:24:12.827940",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLFailure,0,"47317acb-1c10-4f98-95f9-34f385631c8d","2024-01-25T19:24:12.822327",1.0,"2024-01-25T19:24:12.823352",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToHelp,0,"5cbb0de7-2b62-47ce-9c78-be81f5b5079d","2024-01-25T19:24:13.070692",0.0,"2024-01-25T19:24:13.071322",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testPrevButton,0,"2ed71f5a-0428-4f6c-bbb9-edf142f169c7","2024-01-25T19:24:12.820303",1.0,"2024-01-25T19:24:12.821824",PASSED,
"de.ssherlock.system_tests.ui.facelets.TestateUITest",0,testGradeValidators,0,"feab81e8-5e37-4d69-965e-b262bb19360b","2024-01-25T19:24:13.076804",0.0,"2024-01-25T19:24:13.077539",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testFirstButton,0,"705e9440-73e5-4da9-826d-a270d568f68c","2024-01-25T19:24:12.858755",0.0,"2024-01-25T19:24:12.859446",PASSED,
"de.ssherlock.system_tests.ui.facelets.TestateUITest",0,testCommentValidators,0,"3681bc81-4ee6-4464-b4d6-428e407bf5eb","2024-01-25T19:24:12.745629",1.0,"2024-01-25T19:24:12.746770",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"22db1175-a4c6-4c9c-9d1a-3ef9e3375937","2024-01-25T19:24:12.702550",4.0,"2024-01-25T19:24:12.706851",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testSelectUser,0,"d0874b3f-5779-4855-9d39-23d3a2c9dd48","2024-01-25T19:24:12.708618",13.0,"2024-01-25T19:24:12.722251",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testFirstButton,0,"960cd515-bbfe-4f88-96cd-0e156d03adae","2024-01-25T19:24:12.718999",2.0,"2024-01-25T19:24:12.721282",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageSuccess,0,"3e94b402-e5a8-4445-bfdf-6dc997b4e638","2024-01-25T19:24:13.048801",1.0,"2024-01-25T19:24:13.050448",PASSED,
"de.ssherlock.system_tests.ui.facelets.RegistrationUITest",0,"testRegistrationValidators",0,"76124b26-4f0f-4e00-bbc1-61415e6c4d43","2024-01-25T19:24:12.842784",2922.0,"2024-01-25T19:24:15.764895",FAILED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckSearch,0,"71889fcb-757c-431c-b7fd-300f39d9ba51","2024-01-25T19:24:13.087374",0.0,"2024-01-25T19:24:13.088073",PASSED,
"de.ssherlock.system_tests.ui.facelets.FooterUITest",0,testFooter,0,"cc7721fd-a2f0-4cbc-8413-33a3596c2d1e","2024-01-25T19:24:12.491301",15.0,"2024-01-25T19:24:12.506851",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"8962e657-a579-4854-8243-7110a552a110","2024-01-25T19:24:12.839675",3.0,"2024-01-25T19:24:12.843342",PASSED,
"de.ssherlock.system_tests.ui.facelets.ProfileUITest",0,testCorrectContent,0,"d5b1082f-157e-4081-81e2-e465e7e08478","2024-01-25T19:24:13.074457",0.0,"2024-01-25T19:24:13.075376",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testRegisterClicked,0,"cdcee813-864d-4d52-b2dd-811b02fc2371","2024-01-25T19:24:13.055255",0.0,"2024-01-25T19:24:13.056002",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageSuccess,0,"9ca72cf5-9008-4299-b2a1-e657702fc815","2024-01-25T19:24:13.095918",0.0,"2024-01-25T19:24:13.096510",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testPrevButton,0,"4c5a2675-9324-4ffd-b173-0c31861c43fd","2024-01-25T19:24:13.039272",0.0,"2024-01-25T19:24:13.040209",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckCorrectContent,0,"d7217df4-0595-4455-9f1c-644b0f26e494","2024-01-25T19:24:13.082519",0.0,"2024-01-25T19:24:13.083206",PASSED,
"de.ssherlock.system_tests.ui.facelets.FooterUITest",0,testFooter,0,"7524bdd1-2603-4a54-9800-aa4290876c47","2024-01-25T19:24:13.055381",1.0,"2024-01-25T19:24:13.056796",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLFailure,0,"27c2a572-d1a9-4368-a8c6-9d07b7c86064","2024-01-25T19:24:12.509755",1.0,"2024-01-25T19:24:12.511287",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageFailure,0,"ea4c3f3f-9d64-4c09-99fe-b3a3ab78d7da","2024-01-25T19:24:12.516238",1.0,"2024-01-25T19:24:12.517475",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLFailure,0,"7accb22d-9bcc-4c4b-9b82-9328bfb00ea8","2024-01-25T19:24:12.868541",0.0,"2024-01-25T19:24:12.869475",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testRegisterClicked,0,"e597b595-1d28-4638-b513-9d141623bf25","2024-01-25T19:24:12.507619",17.0,"2024-01-25T19:24:12.524854",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToMyCourses,0,"0cc3af31-da4b-40aa-96a2-e0050fbaf8d5","2024-01-25T19:24:12.700281",6.0,"2024-01-25T19:24:12.706357",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckSearch,0,"b3039e3e-4e1b-481f-a1b3-e9a763b21106","2024-01-25T19:24:12.949887",1.0,"2024-01-25T19:24:12.951044",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckCorrectContent,0,"3980c695-2b2c-476a-9efe-9602d438fb2b","2024-01-25T19:24:12.983094",2.0,"2024-01-25T19:24:12.985337",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testNextButton,0,"1941b3d4-9e33-4c16-8b72-20850349b3e2","2024-01-25T19:24:13.036350",1.0,"2024-01-25T19:24:13.037685",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testCheckCorrectDates,0,"b30d17fd-e166-40f4-bc9d-b997b1c41947","2024-01-25T19:24:13.039962",1.0,"2024-01-25T19:24:13.041294",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testFirstButton,0,"8e605b3c-03b6-4218-ba23-063b24bb3bca","2024-01-25T19:24:12.493567",12.0,"2024-01-25T19:24:12.505993",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckSearch,0,"2f85a505-b247-4d1f-8c6f-d406417573aa","2024-01-25T19:24:12.739695",10.0,"2024-01-25T19:24:12.750300",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToHelp,0,"68c1e622-076d-451d-95d2-46ac143eb370","2024-01-25T19:24:12.839862",0.0,"2024-01-25T19:24:12.840803",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToAllCourses,0,"96d024c1-a86c-447a-9724-8465d61a9782","2024-01-25T19:24:12.832891",1.0,"2024-01-25T19:24:12.834469",PASSED,
"de.ssherlock.system_tests.ui.facelets.CheckerListUITest",0,"testCheckContentPagination",0,"4ae08c66-b4d1-4c47-8bf2-c458b60a8af0","2024-01-25T19:24:13.084952",0.0,"2024-01-25T19:24:13.085479",PASSED,
